id,name,address,latitude,longitude,working_hours,service_info
354,Beyləqan filialı,"Beyləqan şəhəri, S.Qazıyeva küç.",39.7719,47.6117,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
317,Sədərək filialı,"Bakı ş., Qaradağ r-nu., Sədərək Ticarət Mərkəzi (Elit)",40.3253,49.7803,Bazar ertəsi - Cümə 9:00 – 17:00 Şənbə/Bazar: fəaliyyət göstərmir.,
282,Rəqəmsal filial,"S.S.Axundov küç., 42",40.4255,49.8434,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
138,Tovuz filialı,"Tovuz ş., Sabir küç., 21",41.0004,45.6083,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
119,Bərdə filialı,"Bərdə ş., H. Əliyev pr., 72",40.3845,47.1243,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
108,Xırdalan filialı,"Xırdalan şəh., M. Hüseynzadə küç., 6",40.4556,49.7405,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
98,Quba filialı,"Quba ş., Heydər Əliyev pr., 225, AZ4002",41.3626,48.5283,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
29,Şəki filialı,"Şəki ş., M.Ə.Rəsulzadə pr., 160A, AZ5500",41.194,47.1742,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
30,Lənkəran filialı,"Lənkəran ş., Z.Əliyeva küç., ev 12, AZ4200",38.7558,48.8503,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
31,Şəmkir filialı,"Şəmkir ş., 20 Yanvar küç., 1, AZ5700",40.8302,46.0212,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
33,Mingəçevir filialı,"Mingəçevir ş., Heydər Əliyev pr., 36, AZ4500",40.7693,47.0537,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
137,Yasamal filialı,"Bakı ş., Bəsti Bağırova küç., 2, AZ1065",40.3839,49.824,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
4,Gəncə filialı,"Gəncə ş., Atatürk pr., 249, AZ2003",40.6814,46.3588,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
87,Kəpəz filialı,"Gəncə şəhəri, Kəpəz r-nu, Ş.Hüseynov küç., 2, AZ2011",40.688,46.3849,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
117,İsmayıllı filialı,"İsmayıllı şəh., M.F. Axundov küç., 18A",40.7846,48.1497,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
3,Neftçilər filialı,"Bakı, Nizami r-nu., Qara Qarayev pr., 66, AZ1096",40.411,49.9421,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
14,Nərimanov filialı,"Bakı ş., Təbriz küç., 94, AZ1072",40.3999,49.8668,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
175,Sumqayıt filialı,"N.Nərimanov küç, ev.2/59, AZ5007",40.5818,49.6814,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
15,Əcəmi filialı,"Bakı ş., 5-ci mkr, A. Məhərrəmov 21B, AZ1102",40.4076,49.8116,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
19,10 saylı filial (Əhmədli),"Bakı ş., M.Hadi küç., 33, AZ1129",40.3859,49.9545,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
23,15 saylı filial (28 May),"Bakı ş., Nəsimi r-nu, D. Əliyeva küç., 243 , AZ1010",40.3797,49.8537,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
22,13 saylı filial (İnşaatçılar),"Bakı ş., Yasamal r-nu, Şərifzadə küç., 174, AZ 1138",40.3916,49.8029,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
28,16 saylı filial,"Bak ş., Yasamal r-nu, M.Müşviq küç., 15/17 AZ 1138",40.3667,49.8214,Bazar ertəsi - Cümə 9:00 – 17:00 Şənbə/Bazar: fəaliyyət göstərmir.,
111,17 saylı (Sahil) filial,"Bakı ş., Səbail r-nu, Bülbül pr., 10, AZ1022",40.3723,49.8449,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
140,19 saylı (Bakıxanov) filial,"Bakı ş., Bakıxanov qəs., Sülh küç., 14/2, AZ1132",40.4184,49.9634,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
110,11 saylı (Dərnəgül) filialı,"Bakı ş., Ə.Rəcəbli küç., 1/15",40.4087,49.8631,Bazar ertəsi - Cümə 9:00 – 17:00 Şənbə/Bazar: fəaliyyət göstərmir.,
120,Mərdəkan filialı,"Xəzər r-nu., Mərdəkan qəs., Sergey Yesenin küç., 100",40.4875,50.1608,Bazar ertəsi - Cümə 9:00 – 18:00* Şənbə: 10:00 –15:00 Bazar: fəaliyyət göstərmir.,
143,Salyan filialı,"Salyan r-nu, Y. Qasımov, 2",39.5893,48.9748,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
144,Xaçmaz filialı,"Xaçmaz ş., N. Nərimanov küç., 19A",41.4638,48.8018,Bazar ertəsi - Cümə 9:00 – 18:00*Şənbə/Bazar: fəaliyyət göstərmir.,
145,Qara Qarayev filialı,A.Manafov küçəsi 9,40.419,49.9306,Bazar ertəsi - Cümə 9:00 – 17:00 Şənbə/Bazar: fəaliyyət göstərmir.,
106,Dərnəgül filialı,"Ə. Rəcəbli küç., 1/15",40.4087,49.8631,,
101,Lənkaran filialı,"Lənkəran şəh., Z. Əliyeva küç., ev 12",38.7558,48.8503,,
223,“Bərdə” filialı,"Bərdə şəhəri, Nizami küçəsi 72 (İcra Hakimiyyətinə yaxın) Tel.: 117",40.3828,47.1243,,
224,“Mərdəkan” filialı,"Xəzər rayonu, Mərdəkan qəsəbəsi, Sergey Yesenin küçəsi, 100 Tel.: 117",40.4875,50.1608,,
228,“Salyan” filialı,"Y. Qasımov , 2 (Avtovağzala yaxın) Tel.: 117",39.5893,48.9748,,
229,“Xaçmaz” filialı,"“Xaçmaz” filialı Xaçmaz şəhəri, N. Nərimanov küçəsi, 19A (Mərkəzi poçtun yaxınlığı) Tel.: 117",41.4638,48.8018,,
